"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
660,656222,"Beeks, Jalen",660,100,0.287,0.096,0.331,0.382,0.332,0.314,0.244,51,178,88.7,14.8,2177,94.5,95.48,55,341,319,1,6.68,110,148,118,147,304,328,299,"-3.4","3.4","69.056353376","6.654535756"
651,676684,"Vest, Will",651,100,0.183,0.031,0.253,0.214,0.207,0.295,0.243,24,131,91.9,14.4,2161,96.1,95.9,72,315,336,-0.19999999999998863,6.2,110,148,117,147,295,328,296,"11.5","-11.5","68.305171512","6.496458351"
646,695243,"Miller, Mason",646,100,0.178,0.141,0.253,0.319,0.254,0.251,0.185,24,135,87.7,20.1,2508,100.9,101.5,135,364,282,0.5999999999999943,6.78,113,148,117,150,298,323,299,"10.5","-10.5","69.45549488","6.736665898"
641,672456,"Montero, Keider",641,100,0.27,0.216,0.282,0.486,0.364,0.394,0.318,40,148,93.2,13.8,2164,94.7,94.92,53,295,346,0.20000000000000284,6.39,112,148,115,149,293,328,298,"-2.1","2.1","69.03022311","6.649342473"
638,656731,"Megill, Tylor",638,100,0.228,0.122,0.317,0.35,0.32,0.341,0.231,28,123,91.5,23.2,2218,95.7,97.53,90,308,330,1.7999999999999972,7.42,114,149,121,150,295,325,297,"1.9","-1.9","69.163708587","6.66918159"
635,500779,"Quintana, Jose",635,100,0.227,0.2,0.216,0.427,0.332,0.344,0.235,25,110,87.1,23.1,2074,90.7,90.94,48,290,345,0.20000000000000284,6.54,107,150,121,148,300,326,294,"-1.2","1.2","67.466924599","6.525181168"
633,518886,"Kimbrel, Craig",633,100,0.203,0.218,0.274,0.421,0.34,0.34,0.213,27,133,92.2,25.7,2316,93.9,94.61,86,298,335,0.6999999999999886,6.83,112,147,118,149,300,326,299,"-0.5","0.5","69.361146893","6.787587643"
631,669062,"Miller, Erik",631,100,0.184,0.126,0.246,0.311,0.289,0.286,0.185,19,103,92.7,15.1,2272,96.9,97.25,81,278,353,0.3999999999999915,6.55,110,149,120,148,294,320,295,"6.2","-6.2","67.62499875","6.619138945"
626,663978,"Paddack, Chris",626,100,0.277,0.123,0.371,0.4,0.314,0.295,0.245,43,155,92,17.3,2214,93.3,94.29,76,313,313,1,6.98,112,148,118,150,300,324,293,"5.3","-5.3","68.151321531","6.486838776"
623,489446,"Yates, Kirby",623,100,0.113,0.097,0.175,0.21,0.208,0.215,0.128,14,124,88,21.3,2357,93.2,92.41,111,315,308,-0.7999999999999972,6.03,115,150,117,150,298,324,298,"17.6","-17.6","69.575755236","6.711202736"
619,683232,"Mears, Nick",619,100,0.24,0.16,0.281,0.4,0.319,0.324,0.241,30,125,89.8,14.7,2318,96.7,97.88,64,320,299,1.2000000000000028,6.86,111,148,120,147,302,329,301,"0.8","-0.8","68.995949233","6.770740105"
619,806185,"Birdsong, Hayden",619,100,0.216,0.224,0.221,0.44,0.363,0.419,0.278,25,116,92.4,20.7,2291,95.8,96.11,47,264,355,0.29999999999999716,6.51,110,148,117,150,297,324,299,"2.8","-2.8","68.229033906","6.571764922"
618,608379,"Wacha, Michael",618,100,0.279,0.169,0.327,0.449,0.346,0.371,0.299,38,136,88.8,20.4,2129,93.6,94.46,52,307,311,0.9000000000000057,6.77,114,148,117,150,296,323,297,"1.2","-1.2","68.396325993","6.618458425"
614,674003,"Bradford, Cody",614,100,0.185,0.159,0.204,0.344,0.246,0.288,0.225,28,151,89.3,23.2,2100,89.8,91,66,310,304,1.2000000000000028,7.1,112,150,117,149,301,324,298,"10.6","-10.6","69.097063179","6.6330875"
614,684320,"Rodríguez, Yariel",614,100,0.255,0.184,0.278,0.439,0.356,0.332,0.239,25,98,88.7,20.4,2361,93.9,94.49,54,246,368,0.5999999999999943,6.58,111,149,112,149,290,321,297,"-5","5","70.106920741","6.809838107"
614,656464,"Ginkel, Kevin",614,100,0.269,0.142,0.32,0.41,0.322,0.314,0.245,36,134,91.9,17.5,2420,96,96.98,61,301,313,1,6.86,113,148,117,149,296,317,294,"3.9","-3.9","68.411708957","6.571998273"
603,650556,"Abreu, Bryan",603,100,0.262,0.238,0.309,0.5,0.367,0.35,0.247,32,122,92.6,22.1,2356,96.7,97.08,82,290,313,0.3999999999999915,6.63,107,149,113,148,295,323,297,"-1.2","1.2","70.144625792","6.929818919"
594,543243,"Gray, Sonny",594,100,0.333,0.233,0.33,0.567,0.41,0.409,0.327,40,120,88.3,10.4,2514,92.4,93.3,49,275,319,0.8999999999999915,6.61,116,147,109,149,301,320,302,"-5.9","5.9","69.432761111","6.871408621"
594,808967,"Yamamoto, Yoshinobu",594,100,0.262,0.151,0.303,0.413,0.326,0.365,0.286,33,126,89.9,14.1,2157,95.5,95.99,49,279,315,0.5,6.56,115,150,121,151,296,316,295,"5","-5","69.59001732","6.7243682"
586,592773,"Stanek, Ryne",586,100,0.236,0.171,0.276,0.407,0.327,0.316,0.209,29,123,90.5,26.4,2329,97.7,97.12,88,318,268,-0.6000000000000085,6.02,112,149,117,148,295,323,295,"-0.8","0.8","69.505847344","6.89456718"
584,605463,"Scott, Tayler",584,100,0.144,0.154,0.172,0.298,0.26,0.271,0.173,15,104,89,21.5,2128,92.7,91.41,72,254,330,-1.2999999999999972,5.81,109,149,114,149,293,321,295,"10.3","-10.3","68.805117167","6.817430258"
578,669358,"Baz, Shane",578,100,0.252,0.118,0.286,0.37,0.321,0.32,0.23,32,127,92.7,26.7,2419,95.6,95.78,64,290,288,0.20000000000000284,6.58,107,149,113,150,300,329,300,"4.3","-4.3","70.095799263","6.767721895"
574,682847,"Ortiz, Luis L.",574,100,0.187,0.144,0.233,0.331,0.266,0.308,0.209,26,139,90,20.8,2278,95.9,96.74,58,279,295,0.7999999999999972,6.77,113,148,111,149,308,326,297,"5.9","-5.9","69.974190772","6.828784301"
570,671212,"Boyle, Joe",570,100,0.27,0.12,0.329,0.39,0.378,0.384,0.261,27,100,90.7,17.6,2506,97.7,98.18,57,225,345,0.5,6.62,109,146,114,149,294,319,297,"-8.6","8.6","69.678243814","6.764348711"
570,640451,"Harvey, Hunter",570,100,0.254,0.149,0.346,0.404,0.328,0.348,0.272,29,114,90.8,13.3,2045,97.8,97.98,68,300,270,0.20000000000000284,6.37,111,148,117,147,304,326,300,"7.6","-7.6","69.100573566","6.692590956"
568,547179,"Lorenzen, Michael",568,100,0.155,0.155,0.16,0.309,0.286,0.344,0.215,17,110,91.9,23,2385,93.8,92.92,45,244,324,-0.8999999999999915,5.84,115,149,117,150,301,324,298,"5.3","-5.3","70.147054619","6.750313644"
568,670280,"Bednar, David",568,100,0.256,0.203,0.283,0.459,0.358,0.366,0.248,34,133,89.9,26.6,2468,97.2,97.78,77,320,248,0.5999999999999943,6.7,111,147,110,147,305,323,294,"-5.6","5.6","69.97614278","6.883576644"
567,669093,"Estrada, Jeremiah",567,100,0.191,0.113,0.26,0.304,0.26,0.278,0.2,22,115,90.9,23,2224,97.2,97.86,105,322,245,0.7000000000000028,6.75,114,149,118,149,298,325,298,"5.7","-5.7","69.600061485","6.738502607"
566,664747,"Díaz, Alexis",566,100,0.196,0.087,0.243,0.283,0.326,0.321,0.179,18,92,87.6,24.7,2613,93.9,96.5,56,236,330,2.5999999999999943,7.68,115,147,119,149,295,320,290,"-1.9","1.9","68.945576651","6.786083302"
566,700249,"Povich, Cade",566,100,0.223,0.155,0.226,0.379,0.316,0.32,0.217,23,103,89,27,2321,92.4,92.36,50,271,295,0,6.35,110,151,121,147,304,326,296,"2.8","-2.8","69.385163615","6.854304538"
561,677960,"Weathers, Ryan",561,100,0.319,0.133,0.347,0.451,0.375,0.386,0.308,36,113,90.3,16.2,2317,95.9,94.75,36,256,305,-1.2000000000000028,5.83,107,150,118,147,301,317,291,"0.6","-0.6","68.706393","6.627807545"
557,660853,"De Los Santos, Enyel",557,100,0.311,0.311,0.333,0.622,0.431,0.398,0.28,42,135,91.6,21.5,2203,95.5,95.15,67,329,228,-0.4000000000000057,6.16,114,149,120,149,294,326,294,"-4.5","4.5","69.356033082","6.738452021"
556,658648,"Avila, Pedro",556,100,0.246,0.175,0.273,0.421,0.326,0.361,0.271,28,114,90.7,11.8,2250,93.4,93.71,47,253,303,0.29999999999999716,6.34,111,149,125,149,299,320,297,"3.9","-3.9","70.556968718","6.77639812"
551,677053,"Nardi, Andrew",551,100,0.224,0.155,0.333,0.379,0.307,0.271,0.194,26,116,89.4,22,2294,94,94.62,81,275,276,0.5999999999999943,6.8,108,148,116,147,297,320,294,"-3.7","3.7","68.82578452","6.62975092"
549,680885,"Schwellenbach, Spencer",549,100,0.24,0.208,0.291,0.448,0.309,0.328,0.274,30,125,90,15.5,2264,96.1,97.1,57,278,271,1,6.71,114,150,123,149,300,321,295,"1.2","-1.2","69.544800608","6.685256806"
549,641793,"Littell, Zack",549,100,0.245,0.113,0.316,0.358,0.29,0.315,0.253,26,106,90.9,24.6,2024,92.4,92.34,51,267,282,-0.10000000000000853,6.29,109,148,115,150,297,331,301,"3.6","-3.6","69.239611378","6.65781626"
549,670950,"Richards, Trevor",549,100,0.234,0.108,0.28,0.342,0.335,0.375,0.252,26,111,92.5,22.3,2249,92.3,92.26,39,263,286,0,6.36,109,147,115,146,291,321,294,"-0.5","0.5","68.447126996","6.737847312"
536,543859,"Tonkin, Michael",536,100,0.211,0.146,0.284,0.358,0.317,0.352,0.237,26,123,91.1,22.6,2344,93.2,92.75,66,280,256,-0.5,6.22,111,149,119,150,293,323,289,"0.7","-0.7","69.820359457","6.855326124"
533,621244,"Berríos, José",533,100,0.305,0.253,0.333,0.558,0.403,0.405,0.299,29,95,91.1,20.7,2160,94.1,94.16,43,228,305,0.10000000000000853,6.43,112,147,114,151,287,322,298,"-5.4","5.4","68.631597536","6.678105592"
532,676962,"Brown, Ben",532,100,0.25,0.102,0.289,0.352,0.307,0.406,0.302,27,108,92.2,17.6,2222,96.4,97.17,43,232,300,0.7999999999999972,6.76,114,149,114,152,297,324,297,"2","-2","69.544417905","6.801487238"
532,694813,"Stone, Gavin",532,100,0.246,0.164,0.305,0.41,0.333,0.327,0.239,30,122,92.4,15,2234,94.9,95.45,38,235,297,0.5999999999999943,6.64,116,149,119,151,294,317,296,"2.1","-2.1","69.488616884","6.780191674"
532,689017,"Knack, Landon",532,100,0.228,0.298,0.225,0.526,0.358,0.329,0.202,26,114,93.3,27.4,2448,93.5,92.76,53,261,271,-0.7000000000000028,5.86,116,150,125,151,296,315,295,"4.3","-4.3","69.312499141","6.752614609"
531,621381,"Strahm, Matt",531,100,0.159,0.127,0.236,0.286,0.203,0.236,0.187,20,126,91.6,24.3,2496,93.4,92.94,80,298,233,-0.5,6.21,107,149,118,147,298,323,289,"12.7","-12.7","70.263950755","6.83991795"
527,606930,"Barnes, Jacob",527,100,0.267,0.233,0.284,0.5,0.351,0.376,0.284,31,116,90.9,20.3,2465,95.4,96.43,54,276,251,1,6.75,110,148,118,146,301,324,296,"-2.8","2.8","69.940853148","6.850323407"
523,693312,"Nicolas, Kyle",523,100,0.23,0.097,0.256,0.327,0.318,0.351,0.238,26,113,92.1,17.6,2377,97.4,98.42,49,254,269,1,6.92,111,148,112,147,307,325,293,"6.1","-6.1","68.051442815","6.684263235"
515,571946,"Miller, Shelby",515,100,0.183,0.147,0.205,0.33,0.273,0.305,0.204,20,109,93.8,22.4,2418,93.5,94.62,59,249,266,1.0999999999999943,7,114,147,114,147,294,327,295,"9.5","-9.5","67.587483167","6.641957059"
511,607067,"Rea, Colin",511,100,0.207,0.107,0.308,0.314,0.27,0.3,0.236,29,140,89.2,20.3,2173,92.9,93.65,70,282,229,0.6999999999999886,6.64,111,148,122,148,304,322,298,"1.4","-1.4","70.350212113","6.693435811"
506,683627,"Molina, Anthony",506,100,0.374,0.187,0.416,0.561,0.435,0.45,0.374,40,107,93.4,10,2114,94.8,94.85,37,237,269,0.10000000000000853,6.2,114,148,123,148,303,331,301,"-9.8","9.8","69.859162632","6.850702249"
504,643338,"Green, Chad",504,100,0.198,0.165,0.202,0.364,0.257,0.324,0.252,24,121,93.6,21.4,2459,95.5,95.6,54,298,206,0.09999999999999432,6.53,113,147,117,149,290,322,297,"12.1","-12.1","69.927355914","6.766587312"
503,640462,"Puk, A.J.",503,100,0.145,0.051,0.239,0.197,0.19,0.193,0.146,17,117,84.9,22.9,2265,95.6,96.6,83,264,239,1,7.06,108,148,116,147,298,319,294,"9","-9","69.541161951","6.765933577"
503,641729,"Jiménez, Joe",503,100,0.216,0.045,0.291,0.261,0.26,0.275,0.198,24,111,90.7,17.4,2398,94.5,96.09,68,254,249,1.5999999999999943,7.23,113,149,121,148,299,322,294,"8.5","-8.5","69.883840823","6.898022881"
502,608032,"Estévez, Carlos",502,100,0.198,0.115,0.234,0.313,0.24,0.313,0.24,26,131,92.1,23.7,2124,96.8,96.79,62,270,232,0,6.39,112,147,118,148,302,326,295,"5.8","-5.8","70.311030726","6.903286089"
500,676395,"Garcia, Robert",500,100,0.254,0.119,0.375,0.373,0.309,0.27,0.211,30,118,88.6,19.9,2226,94.5,95.01,64,254,246,0.5,6.65,112,148,117,148,299,323,298,"-3.5","3.5","69.064021687","6.708938477"
496,656849,"Peterson, David",496,100,0.22,0.046,0.316,0.266,0.267,0.331,0.255,24,109,86.2,17,2143,93.1,94.55,72,251,245,1.4000000000000057,7.11,110,151,125,149,303,325,294,"2.3","-2.3","68.190387377","6.364324057"
495,543339,"Hudson, Daniel",495,100,0.226,0.179,0.244,0.406,0.305,0.341,0.252,24,106,93.2,22,2493,95.1,95.35,67,256,239,0.20000000000000284,6.4,115,149,122,151,295,315,297,"2.7","-2.7","70.754964958","6.936101975"
487,663878,"Pearson, Nate",487,100,0.31,0.198,0.354,0.508,0.384,0.357,0.254,39,126,92,18.3,2254,97.7,98.6,51,255,232,0.8999999999999915,6.9,112,148,117,150,293,321,293,"-5.2","5.2","69.854048085","6.868163745"
484,694363,"Shuster, Jared",484,100,0.274,0.212,0.294,0.487,0.358,0.365,0.273,31,113,90.8,18.8,2194,92.5,92.77,38,235,249,0.29999999999999716,6.45,109,149,116,148,296,324,294,"-0.7","0.7","69.098863176","6.713705279"
483,663542,"Hudson, Bryan",483,100,0.15,0.131,0.167,0.28,0.223,0.269,0.202,16,107,87,17.3,2287,91.3,93.22,45,250,233,1.9000000000000057,7.39,108,150,119,147,303,322,298,"14.7","-14.7","68.884268707","6.601535086"
480,681190,"Vásquez, Randy",480,100,0.301,0.161,0.352,0.462,0.378,0.429,0.333,28,93,91.6,16.8,2418,94.3,94.21,56,252,228,-0.09999999999999432,6.24,112,149,119,150,297,324,296,"-1.3","1.3","70.312822627","6.816112246"
479,681676,"Fernandez, Ryan",479,100,0.306,0.082,0.371,0.388,0.358,0.387,0.294,26,85,89.7,9.1,2173,95.5,95.75,42,205,274,0.29999999999999716,6.46,110,147,113,148,304,320,299,"0.2","-0.2","68.196802589","6.742998173"
477,607259,"Martinez, Nick",477,100,0.219,0.132,0.274,0.351,0.27,0.273,0.221,25,114,86.8,22.3,2342,92.6,91.76,55,259,218,-0.7999999999999972,5.83,114,146,119,149,293,321,292,"1.3","-1.3","68.563457802","6.570913664"
476,656730,"Megill, Trevor",476,100,0.209,0.07,0.26,0.279,0.247,0.29,0.222,27,129,91.2,19,2456,98.8,99.38,59,270,206,0.6000000000000085,6.67,113,149,120,148,303,324,299,"12.2","-12.2","68.897621587","6.828926825"
476,605154,"Brebbia, John",476,100,0.172,0.121,0.259,0.293,0.244,0.287,0.208,17,99,90.7,21.4,2284,93.8,94.26,62,241,235,0.5,6.59,113,149,120,149,296,323,296,"6.6","-6.6","68.584896053","6.616602544"
475,621242,"Díaz, Edwin",475,100,0.19,0.114,0.333,0.304,0.276,0.281,0.181,15,79,89.8,20.6,2349,97.5,99.31,75,205,270,1.7999999999999972,7.42,119,149,119,150,296,325,298,"0.9","-0.9","68.866618359","6.681928821"
475,665795,"Cabrera, Edward",475,100,0.304,0.239,0.328,0.543,0.425,0.425,0.3,28,92,93.3,20,2247,96.3,96.86,36,219,256,0.6000000000000085,6.66,112,148,118,149,299,324,301,"-8","8","70.28338037","6.875931296"
468,647336,"Soroka, Michael",468,100,0.198,0.16,0.237,0.358,0.314,0.322,0.201,16,81,84.2,26.7,2527,93.5,92.91,45,213,255,-0.5999999999999943,6.02,112,148,117,149,298,325,295,"3.7","-3.7","68.869797538","6.581857949"
467,593576,"Neris, Héctor",467,100,0.21,0.2,0.246,0.41,0.302,0.321,0.227,21,100,92.4,23.8,2402,93,92.52,46,241,226,-0.5,6.14,113,148,112,150,297,323,296,"8.9","-8.9","69.818240783","6.930668826"
467,663362,"Waldron, Matt",467,100,0.265,0.248,0.325,0.513,0.357,0.331,0.251,31,117,89.8,19.2,2061,90.7,91.27,53,237,230,0.5999999999999943,6.69,116,149,117,151,295,324,298,"-7.2","7.2","68.705508498","6.716338122"
466,608344,"Irvin, Cole",466,100,0.296,0.296,0.315,0.592,0.408,0.438,0.319,29,98,94.7,21.6,2029,91.9,91.96,38,233,233,0.09999999999999432,6.38,110,150,119,147,309,325,294,"-5.6","5.6","70.068937381","6.891853238"
465,686730,"Spiers, Carson",465,100,0.256,0.205,0.304,0.462,0.359,0.33,0.228,30,117,88.6,27.1,2325,92.4,93.1,43,210,255,0.6999999999999886,6.64,114,146,119,150,293,321,294,"-5.1","5.1","68.954915146","6.666919029"
465,689225,"Brieske, Beau",465,100,0.222,0.049,0.34,0.272,0.303,0.304,0.188,18,81,91.6,18.6,2504,95.9,95.59,47,222,243,-0.30000000000001137,6.14,115,148,118,149,291,329,299,"1.8","-1.8","70.334532719","6.955087742"
459,624133,"Suárez, Ranger",459,100,0.224,0.102,0.286,0.327,0.275,0.297,0.259,22,98,85.7,8.6,2006,91.8,92.05,35,194,265,0.29999999999999716,6.33,107,150,117,147,302,325,289,"5","-5","69.544819306","6.609739306"
451,607179,"Weems, Jordan",451,100,0.27,0.14,0.3,0.41,0.352,0.352,0.266,27,100,90,16.3,2102,96,96.48,38,223,228,0.5,6.58,111,147,117,146,302,323,295,"-5.5","5.5","69.829416286","6.879722476"
448,572143,"Smith, Burch",448,100,0.226,0.132,0.313,0.358,0.286,0.313,0.234,24,106,90.9,13.6,2283,94.9,95.61,57,244,204,0.6999999999999886,6.81,110,148,119,147,297,321,293,"4.7","-4.7","68.00433844","6.635475596"
447,666214,"Wentz, Joey",447,100,0.316,0.153,0.351,0.469,0.397,0.379,0.271,31,98,91.1,21.9,2236,93.7,93.84,38,217,230,0.09999999999999432,6.47,112,149,116,147,296,325,295,"-1.6","1.6","69.408658","6.828335095"
442,668338,"Miller, Tyson",442,100,0.218,0.138,0.288,0.356,0.283,0.321,0.246,19,87,92.8,17.8,2169,89.6,91.32,62,220,222,1.7000000000000028,7.28,114,151,117,151,300,325,293,"6.4","-6.4","68.771144714","6.643215429"
442,701581,"Festa, David",442,100,0.304,0.241,0.385,0.544,0.41,0.384,0.274,24,79,91.3,17.9,2349,94.7,95.92,38,201,241,1.2000000000000028,6.96,111,148,113,147,293,321,298,"-4.2","4.2","68.585256134","6.716437062"
441,628317,"Maeda, Kenta",441,100,0.359,0.308,0.423,0.667,0.474,0.419,0.313,28,78,92.4,22,2284,90.8,90.54,23,177,264,-0.29999999999999716,6.1,111,148,116,149,292,330,297,"-15.7","15.7","69.23427903","6.796015636"
438,608718,"Suter, Brent",438,100,0.273,0.127,0.31,0.4,0.311,0.308,0.262,30,110,86.3,16.1,2223,85.8,87.66,39,228,210,1.9000000000000057,7.29,111,149,120,149,297,321,290,"1.9","-1.9","68.589913","6.643562762"
437,681857,"Olson, Reese",437,100,0.277,0.109,0.301,0.386,0.324,0.361,0.29,28,101,92.3,13.4,2228,94.2,93.38,20,199,238,-0.7999999999999972,5.89,116,146,118,150,288,328,303,"-0.2","0.2","69.525991229","6.893180447"
436,471911,"Carrasco, Carlos",436,100,0.337,0.217,0.342,0.554,0.41,0.38,0.319,31,92,89,14.1,2179,91.6,92.33,29,198,238,0.7000000000000028,6.59,113,148,120,149,297,318,299,"-8.1","8.1","70.648567933","6.883355084"
432,657508,"Baumann, Mike",432,100,0.289,0.329,0.254,0.618,0.422,0.405,0.269,22,76,93.4,20,2284,96.5,97.08,42,215,217,0.5999999999999943,6.7,110,147,120,147,299,325,297,"-2.8","2.8","70.705382626","6.915226212"
431,673513,"Matsui, Yuki",431,100,0.223,0.223,0.222,0.447,0.336,0.329,0.236,21,94,91.4,27.5,2439,92.2,91.36,45,236,195,-0.7999999999999972,5.95,111,150,117,150,296,323,297,"2.8","-2.8","69.426786037","6.978020645"
430,622554,"Domínguez, Seranthony",430,100,0.222,0.235,0.231,0.457,0.339,0.328,0.218,18,81,84.1,25.3,2397,97.7,98.18,42,193,237,0.5,6.55,113,147,118,148,295,326,296,"2.1","-2.1","70.378194471","6.866581471"
427,519043,"Moore, Matt",427,100,0.195,0.169,0.177,0.364,0.327,0.38,0.24,15,77,88.9,28.8,2249,92.7,92.19,45,214,213,-0.5,6.12,110,148,114,149,305,325,299,"3.1","-3.1","69.841654573","6.828130603"
427,666200,"Luzardo, Jesús",427,100,0.28,0.204,0.259,0.484,0.367,0.394,0.306,26,93,91,22.7,2208,95.2,93.77,22,198,229,-1.4000000000000057,5.69,107,150,117,146,298,321,293,"-1.4","1.4","69.835627468","6.873032338"
423,664854,"Helsley, Ryan",423,100,0.276,0.092,0.287,0.367,0.321,0.337,0.26,27,98,92.3,19.4,2551,99.6,100.05,41,223,200,0.5,6.57,115,147,113,148,303,321,301,"4","-4","69.937654721","6.883321066"
419,600917,"Leclerc, José",419,100,0.176,0.118,0.233,0.294,0.305,0.342,0.202,12,68,89.7,26,2534,95.3,94.05,64,200,219,-1.2999999999999972,5.58,111,149,116,148,300,324,296,"1.4","-1.4","69.32532414","6.923092312"
416,678495,"Rodríguez, Randy",416,100,0.258,0.191,0.317,0.449,0.351,0.313,0.226,23,89,88.8,15.7,2521,97.6,98.33,49,197,219,0.7000000000000028,6.66,112,148,120,149,297,323,295,"-5.4","5.4","68.484693862","6.794977989"
416,681035,"Scott, Christian",416,100,0.265,0.122,0.338,0.388,0.308,0.31,0.248,26,98,93.2,20.8,2235,94.2,95.11,48,218,198,0.8999999999999915,6.95,114,149,120,150,298,325,301,"1.1","-1.1","70.270504455","6.767426066"
415,674370,"Bido, Osvaldo",415,100,0.203,0.095,0.271,0.297,0.305,0.293,0.177,15,74,88.9,26.1,2386,94.8,94.72,51,178,237,-0.09999999999999432,6.35,113,147,116,150,299,322,299,"0.7","-0.7","69.327699128","6.81563936"
415,592094,"Adam, Jason",415,100,0.167,0.119,0.176,0.286,0.233,0.308,0.23,14,84,92.4,24.7,2648,95.5,95.93,58,219,196,0.4000000000000057,6.66,109,149,114,148,296,326,298,"6.4","-6.4","69.4553475","6.846831618"
413,657097,"Webb, Jacob",413,100,0.2,0.165,0.259,0.365,0.332,0.365,0.226,17,85,92.1,24.5,2466,93.5,93.24,55,206,207,-0.29999999999999716,6.28,113,149,120,149,303,325,295,"0.8","-0.8","68.277447684","6.623515842"
412,660896,"Alcala, Jorge",412,100,0.224,0.289,0.216,0.513,0.362,0.344,0.217,17,76,90.8,33.4,2470,98,97.1,61,205,207,-0.9000000000000057,5.88,114,148,116,150,297,323,295,"1.6","-1.6","70.124646632","6.954240259"
412,683769,"Gaddis, Hunter",412,100,0.219,0.198,0.24,0.417,0.296,0.299,0.228,21,96,90.4,26.3,2327,95.4,96.41,42,235,177,1,6.88,114,150,124,150,298,318,299,"6.3","-6.3","69.957378684","6.882043904"
411,548389,"Stripling, Ross",411,100,0.244,0.178,0.284,0.422,0.328,0.311,0.217,22,90,89.2,22.6,2143,91.7,91.13,30,171,240,-0.6000000000000085,6.07,112,148,116,150,296,319,295,"-3","3","68.991191132","6.754568553"
409,678368,"Bellozo, Valente",409,100,0.247,0.206,0.237,0.454,0.331,0.377,0.276,24,97,90.8,21,2090,89.2,88.82,26,195,214,-0.4000000000000057,6.02,109,149,120,149,302,327,299,"3.5","-3.5","69.897067196","6.795006772"
407,657571,"Ferguson, Caleb",407,100,0.309,0.278,0.375,0.588,0.421,0.393,0.287,30,97,93.2,14.7,2219,93.8,94.1,43,199,208,0.29999999999999716,6.54,109,150,114,150,289,320,286,"-7.2","7.2","69.718334086","6.614409624"
404,458677,"Wilson, Justin",404,100,0.333,0.309,0.435,0.642,0.435,0.388,0.263,27,81,87.8,18.7,2213,95.5,95.09,61,221,183,-0.4000000000000057,6.05,111,146,118,148,294,321,292,"-6.1","6.1","69.87549549","6.633172255"
404,672710,"Contreras, Roansy",404,100,0.231,0.115,0.275,0.346,0.287,0.361,0.283,24,104,91.9,11.1,2328,94.7,94.96,33,206,198,0.29999999999999716,6.49,110,148,115,149,307,324,298,"2.3","-2.3","69.225065217","6.790320652"
402,656641,"Latz, Jacob",402,100,0.228,0.152,0.263,0.38,0.34,0.372,0.232,18,79,90.7,26.2,2337,94.9,95.24,45,201,201,0.29999999999999716,6.64,114,149,119,149,299,323,296,"-7.7","7.7","69.518301105","6.814130718"
402,665871,"Assad, Javier",402,100,0.319,0.153,0.412,0.472,0.374,0.352,0.292,23,72,90.4,17.9,2034,91.5,91.89,35,174,228,0.4000000000000057,6.52,115,149,111,153,294,324,299,"0.1","-0.1","68.934390645","6.521065742"
400,663567,"Lambert, Peter",400,100,0.315,0.213,0.342,0.528,0.402,0.369,0.288,28,89,89.1,21.9,2236,94.5,95,22,188,212,0.5,6.44,112,149,121,149,303,329,301,"-3.2","3.2","69.185061548","6.752322202"